word_1,def_1-1,def_1-2,def_1-3,def_1-4,def_1-5,def_1-6,def_1-7,word_2,def_2-1,def_2-2,def_2-3,def_2-4,def_2-5,def_2-6,def_2-7
annoyed,"<crowd-radio-button name="def_1-0" value="def_1-0">cause annoyance in; disturb, especially by minor irritations</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">aroused to impatience or anger</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">troubled persistently especially with petty annoyances</crowd-radio-button>",o,o,o,o,bothered,"<crowd-radio-button name="def_2-0" value="def_2-0">take the trouble to do something; concern oneself</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">cause annoyance in; disturb, especially by minor irritations</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">to cause inconvenience or discomfort to</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">intrude or enter uninvited</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">make nervous or agitated</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">make confused or perplexed or puzzled</crowd-radio-button>","<crowd-radio-button name="def_2-6" value="def_2-6">caused to show discomposure</crowd-radio-button>"
canonized,"<crowd-radio-button name="def_1-0" value="def_1-0">declare (a dead person) to be a saint</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">treat as a sacred person</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">accorded sacrosanct or authoritative standing</crowd-radio-button>",o,o,o,o,canon,"<crowd-radio-button name="def_2-0" value="def_2-0">a rule or especially body of rules or principles generally established as valid and fundamental in a field or art or philosophy</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a priest who is a member of a cathedral chapter</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a ravine formed by a river in an area with little rainfall</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">a contrapuntal piece of music in which a melody in one part is imitated exactly in other parts</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">a complete list of saints that have been recognized by the Roman Catholic Church</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">a collection of books accepted as holy scripture especially the books of the Bible recognized by any Christian church as genuine and inspired</crowd-radio-button>",o
tusk,"<crowd-radio-button name="def_1-0" value="def_1-0">a hard smooth ivory colored dentine that makes up most of the tusks of elephants and walruses</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a long pointed tooth specialized for fighting or digging; especially in an elephant or walrus or hog</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">stab or pierce with a horn or tusk</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">remove the tusks of animals</crowd-radio-button>",o,o,o,scaring,"<crowd-radio-button name="def_2-0" value="def_2-0">cause fear in</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">cause to lose courage</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">mark with a scar</crowd-radio-button>",o,o,o,o
unwitting,"<crowd-radio-button name="def_1-0" value="def_1-0">not done with purpose or intent</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">not aware or knowing</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">unaware because of a lack of relevant information or knowledge</crowd-radio-button>",o,o,o,o,wit,"<crowd-radio-button name="def_2-0" value="def_2-0">a message whose ingenuity or verbal skill or incongruity has the power to evoke laughter</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">mental ability</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a witty amusing person who makes jokes</crowd-radio-button>",o,o,o,o
junior,"<crowd-radio-button name="def_1-0" value="def_1-0">term of address for a disrespectful and annoying male</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a third-year undergraduate</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">the younger of two persons</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">a son who has the same first name as his father</crowd-radio-button>","<crowd-radio-button name="def_1-4" value="def_1-4">younger; lower in rank; shorter in length of tenure or service</crowd-radio-button>","<crowd-radio-button name="def_1-5" value="def_1-5">used of the third or next to final year in United States high school or college</crowd-radio-button>","<crowd-radio-button name="def_1-6" value="def_1-6">including or intended for youthful persons</crowd-radio-button>",subordinate,"<crowd-radio-button name="def_2-0" value="def_2-0">an assistant subject to the authority or control of another</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a word that is more specific than a given word</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">rank or order as less important or consider of less value</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">make subordinate, dependent, or subservient</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">lower in rank or importance</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">subject or submissive to authority or the control of another</crowd-radio-button>","<crowd-radio-button name="def_2-6" value="def_2-6">(of a clause) unable to stand alone syntactically as a complete sentence</crowd-radio-button>"
encroachment,"<crowd-radio-button name="def_1-0" value="def_1-0">any entry into an area not previously occupied</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">entry to another's property without right or permission</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">influencing strongly</crowd-radio-button>",o,o,o,o,diminution,"<crowd-radio-button name="def_2-0" value="def_2-0">change toward something smaller or lower</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">the statement of a theme in notes of lesser duration (usually half the length of the original)</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">the act of decreasing or reducing something</crowd-radio-button>",o,o,o,o
firmly,"<crowd-radio-button name="def_1-0" value="def_1-0">with resolute determination</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">in a secure manner; in a manner free from danger</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">with firmness</crowd-radio-button>",o,o,o,o,securely,"<crowd-radio-button name="def_2-0" value="def_2-0">in a secure manner; in a manner free from danger</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">in a confident and unselfconscious manner</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">in a manner free from fear or risk</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">in an invulnerable manner</crowd-radio-button>",o,o,o
berthing,"<crowd-radio-button name="def_1-0" value="def_1-0">provide with a berth</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">secure in or as if in a berth or dock</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">come into or dock at a wharf</crowd-radio-button>",o,o,o,o,berth,"<crowd-radio-button name="def_2-0" value="def_2-0">a job in an organization</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a place where a craft can be made fast</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a bed on a ship or train; usually in tiers</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">provide with a berth</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">secure in or as if in a berth or dock</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">come into or dock at a wharf</crowd-radio-button>",o
intake,"<crowd-radio-button name="def_1-0" value="def_1-0">the process of taking food into the body through the mouth (as by eating)</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">an opening through which fluid is admitted to a tube or container</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">the act of inhaling; the drawing in of air (or other gases) as in breathing</crowd-radio-button>",o,o,o,o,fluid,"<crowd-radio-button name="def_2-0" value="def_2-0">a substance that is fluid at room temperature and pressure</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">continuous amorphous matter that tends to flow and to conform to the outline of its container: a liquid or a gas</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">subject to change; variable</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">characteristic of a fluid; capable of flowing and easily changing shape</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">smooth and unconstrained in movement</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">in cash or easily convertible to cash</crowd-radio-button>","<crowd-radio-button name="def_2-6" value="def_2-6">affording change (especially in social status)</crowd-radio-button>"
besieging,"<crowd-radio-button name="def_1-0" value="def_1-0">the action of an armed force that surrounds a fortified place and isolates it while continuing to attack</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">surround so as to force to give up</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">cause to feel distressed or worried</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">harass, as with questions or requests</crowd-radio-button>",o,o,o,besiege,"<crowd-radio-button name="def_2-0" value="def_2-0">surround so as to force to give up</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">cause to feel distressed or worried</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">harass, as with questions or requests</crowd-radio-button>",o,o,o,o
preferences,"<crowd-radio-button name="def_1-0" value="def_1-0">a strong liking</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">a predisposition in favor of something</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">the right or chance to choose</crowd-radio-button>","<crowd-radio-button name="def_1-3" value="def_1-3">grant of favor or advantage to one over another (especially to a country or countries in matters of international trade, such as levying duties)</crowd-radio-button>",o,o,o,user,"<crowd-radio-button name="def_2-0" value="def_2-0">a person who makes use of a thing; someone who uses or employs something</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">a person who uses something or someone selfishly or unethically</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a person who takes drugs</crowd-radio-button>",o,o,o,o
afoot,"<crowd-radio-button name="def_1-0" value="def_1-0">traveling by foot</crowd-radio-button>","<crowd-radio-button name="def_1-1" value="def_1-1">currently in progress</crowd-radio-button>","<crowd-radio-button name="def_1-2" value="def_1-2">on foot; walking</crowd-radio-button>",o,o,o,o,progress,"<crowd-radio-button name="def_2-0" value="def_2-0">gradual improvement or growth or development</crowd-radio-button>","<crowd-radio-button name="def_2-1" value="def_2-1">the act of moving forward (as toward a goal)</crowd-radio-button>","<crowd-radio-button name="def_2-2" value="def_2-2">a movement forward</crowd-radio-button>","<crowd-radio-button name="def_2-3" value="def_2-3">develop in a positive way</crowd-radio-button>","<crowd-radio-button name="def_2-4" value="def_2-4">move forward, also in the metaphorical sense</crowd-radio-button>","<crowd-radio-button name="def_2-5" value="def_2-5">form or accumulate steadily</crowd-radio-button>",o
